Pais,Codigopais,GGHE-D,UHC_IESC,UHC_SCI_CAPACITY,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_INFECT,Casos,Muertes,Poblacion,Tasa_Contagios,Tasa_Muertes,KMeans_Clusters
Afghanistan,AFG,1.8,37,23.89,55.97,86.0,32.37,49273,1971,38742911,0.13,0.0051,1
Albania,ALB,9.71,59,69.48,55.82,44.72,69.04,48530,1003,2878420,1.69,0.0348,0
Algeria,DZA,10.73,78,90.98,69.18,74.59,77.92,92102,2596,43685618,0.21,0.0059,0
Angola,AGO,5.43,40,34.64,67.56,44.78,23.39,16188,371,32644783,0.05,0.0011,1
Antigua and Barbuda,ATG,11.66,73,69.83,71.63,85.87,65.2,148,4,97764,0.15,0.0041,0
Argentina,ARG,15.19,76,88.88,66.87,87.85,64.31,1498160,40766,45111229,3.32,0.0904,2
Armenia,ARM,5.27,69,98.41,55.02,66.84,64.38,148682,2503,2962137,5.02,0.0845,2
Australia,AUS,17.94,87,99.9,75.4,91.46,81.59,28031,908,25439164,0.11,0.0036,0
Austria,AUT,15.5,79,88.02,61.55,90.94,78.82,320036,4400,8996022,3.56,0.0489,2
Azerbaijan,AZE,2.81,65,94.19,59.88,48.94,65.16,175874,1922,10120555,1.74,0.019,0
Bahamas,BHS,15.87,75,80.69,71.48,85.22,64.39,7674,163,392477,1.96,0.0415,0
Bahrain,BHR,7.21,77,97.61,65.77,85.07,63.86,89143,348,1688629,5.28,0.0206,0
Bangladesh,BGD,2.98,48,42.16,57.15,58.08,38.64,490533,7052,164354176,0.3,0.0043,1
Barbados,BRB,9.89,77,78.12,71.92,88.21,72.49,292,7,287305,0.1,0.0024,0
Belarus,BLR,10.61,76,96.37,57.62,90.63,67.92,160295,1263,9449940,1.7,0.0134,0
Belgium,BEL,15.0,84,93.94,68.57,94.41,81.03,608001,17951,11579477,5.25,0.155,2
Belize,BLZ,12.46,64,56.23,72.27,78.72,53.36,9295,195,396120,2.35,0.0492,0
Benin,BEN,2.96,40,20.51,73.27,46.36,35.3,3090,44,12055347,0.03,0.0004,1
Bhutan,BTN,7.61,62,52.91,62.28,84.48,54.66,438,0,769867,0.06,0.0,0
Bolivia (Plurinational State of),BOL,12.09,68,81.5,78.83,69.9,48.56,147150,9018,11640159,1.26,0.0775,0
Bosnia and Herzegovina,BIH,15.14,61,77.95,43.27,63.82,64.91,101117,3336,3284806,3.08,0.1016,2
Botswana,BWA,14.32,61,47.23,62.34,67.11,71.57,12501,37,2341649,0.53,0.0016,0
Brazil,BRA,10.3,79,98.68,71.2,77.23,70.36,6901952,181402,212253150,3.25,0.0855,2
Brunei Darussalam,BRN,7.14,81,87.59,71.1,92.29,76.75,152,3,436624,0.03,0.0007,0
Bulgaria,BGR,11.59,66,86.71,44.31,80.56,60.04,179449,5688,6958627,2.58,0.0817,2
Burkina Faso,BFA,8.78,40,15.37,64.27,57.43,43.75,4030,71,20780371,0.02,0.0003,1
Burundi,BDI,8.52,42,12.97,69.47,57.87,57.41,729,1,11814346,0.01,0.0,1
Cabo Verde,CPV,10.39,69,82.84,61.71,80.24,54.99,11357,110,554750,2.05,0.0198,0
